"drag-coefficient-rfile"
"Iteration" "drag-coefficient"
("Iteration" "drag-coefficient")
1 27852.61391928931
2 8835.011100812271
3 5050.134736336407
4 1331.071623840089
5 644.0056617540488
6 402.3481008275723
7 244.8414304009807
8 113.0376856023588
9 93.40649299726783
10 73.38363821742458
11 64.60912562708351
12 68.74089460457301
13 83.66663482244468
14 114.9373747312294
15 161.9092203955614
16 211.6058052631833
17 255.7893014695352
18 293.5628211314828
19 324.6168957646673
20 347.3606743672851
21 364.0240887758125
22 376.0312126259108
23 384.3158705184695
24 389.70242854304
25 392.9888021776503
26 394.9200672637537
27 395.9235092957067
28 396.3059987339805
29 396.3159378940877
30 396.117211188451
31 395.8214791291499
32 395.4894457702511
33 395.1591710157502
34 394.8574167193901
35 394.5984248890115
36 394.3868541395884
37 394.2216244756646
38 394.0988409898838
39 394.0135486536294
40 393.9607276386903
41 393.9352052206809
42 393.9316823562191
43 393.945344712076
44 393.9719478328709
45 394.0077981110681
46 394.0497443421002
47 394.0950845103827
48 394.1416084923703
49 394.1876236797903
50 394.2318743919793
51 394.2734647623957
52 394.3118285685508
53 394.346657778571
54 394.3778411255618
55 394.4054175711037
56 394.4295359043752
57 394.4504197120434
58 394.4683372944614
59 394.4835797517632
60 394.496442301306
61 394.5072130153619
62 394.5161640298497
63 394.5235466044681
64 394.5295886912879
65 394.5344942872394
66 394.5384438961622
67 394.5415957071729
68 0.1578176345140051
